OrderFeedbackDate_Key,Customer_Key,OrderFeedbackScore,OrderFeedBackText
20191219,1536567,1,Gjort   en snes forsøg på at bestille inden det lykkedes  !
20191220,1682972,10,Kun at jeg hidtil har været en tilfreds kunde
20191228,466100,10,Skal vi vente til efter ordren er modtaget?:-)
20190114,1621357,10,"Når jeg har bestilt, er leveringen gået problemfrit! vh. Hanne"
20190116,1274183,8,"Ved fra ældre bekendte, at de finder det svært at navigere på hjemmesiden."
20190123,12076217,10,Hurtigt og nemt
20190218,939557,10,Det fungerer perfekt.
20190302,14018365,9,"Fint - men jeg fandt ikke lige ud af, at betale med mobil Pay skulle jeg bruge mobilnummeret ti Åmosens antikvariat."
20190304,12197166,10,"Super Godt med fri fragt med omdeling som premium medlem, rigtig god medlemsservice"
20190311,126072,10,"Stort udvalg, rigtig gode priser..."
20190328,14620523,9,En rigtig ting at der bliver formidlet brugte bøger
20190425,1193942,10,"Fordi Saxo har et formidabelt udvalg, sympatiske priser og en perfekt kundeservice."
20190427,12133765,10,Nemt at bruge - og den bog mistede jeg for 30 år siden og jeg har ledt efter den lige siden
20190428,573354,9,Kan finde de bøger jeg har brug for
20190311,14601071,10,Nej ikke nu
20190318,1868103,9,"Jeg er en stor bogforbruger og køber bl.,a. En del antikvariske bøger. Med hensyn til nye bøger kan det knibe med konkurrencedygtigheden i forhold til andre internetboghandler."
20190401,1383209,10,"Nemt - hurtigt - billigt - bliv Premium kunde - så får du 
gratis fragt til alle dine indkøb: danske - udenlandske -
 faglitteratur - klassikere - krimier - børne litteratur -
 ungdoms litteratur - der er bøger for enhver smag"
20191021,11993350,4,"Har ikke modtager ordrebekræftelse, har tjekket uønsket mails.
kan ikke chatte på siden - feltet jeg skal skrive i er ikke synligt
"
20191025,386432,9,Næh... men glæder mig til at modtage bogen. Højt ønsket gave ??
20191029,1014143,5,"Jeg har jo ikke fået bogen endnu, så det er lidt tidligt I spørger"
20191113,974069,10,Fedt at man både kan høre lydbøger og samtidig bestille brugt og nyt uden fragt
20191117,13307627,10,Det er dejligt at have et dansk alternativ til Amazon
20191202,1313363,10,"helst købte jeg da mine bøger i en boghandel, hvor man bliver betjent af mennesker, man kan se, men de har sjældent, de bøger jeg ønsker.... og det tager ofte længere tid end at købe de samme bøger gennem jer, så jeg overgav mig og nethandelen har vundet endnu en forbruger."
20191026,1175480,10,Der fungerer bare godt for mig
20191031,14644970,10,jeg er glad for den nye brugtbogs ordning.
20191112,1788406,10,Jeg læser Ebøger igennem jer. Jeg køber bøger (gaver) hos jer. God service
20191113,1284948,4,"Kun fire fordi appen er meget tung(der skal trykkes hårdt og ofte flere gange på min,ganske vist
""gamle"", Ipad3).Jeg måtte også lede en del efter den billigste,brugte bog i stedet for den dyreste,
nyeste udg.Og selvom kl. pt er 04,35 om natten skulle funktionaliteten vel være i orden,da der jo
må være lavere belastning af jeres server??   vh b.j."
20190611,14691289,8,rimeligt overkommeligt at finde ud af hjemmesiden
20190615,1707758,8,Jeg har anbefalet Saxo til flere andre
20190619,12001172,10,"Har før købt ""gamle bøger"" som jeg havde læst som yngre og som jeg pludselig gerne ville læse igen."
20190702,1305591,7,"Meget nem hjemmeside, jeg har ikke lige bestilt og venter på levering til forventet levringstid??"
20190703,12213361,10,Stort udvalg og ofte gode rabatter.
20190703,14762577,5,Spændt på h ad jeg får
20190708,766475,8,Gode muligheder for at købe bøger. Mangler muligheden for at placere antikvarbøger i favorit listen.
20190709,12247546,7,nej
20190709,14014534,5,Kender ikke så mange som kan lide at læse.
20190717,1109459,0,Deres EDB-program for køb af brugte bøger er en vittighed.
20190802,477474,10,Let og overskueligt ! 
20190810,1786881,10,Stort udvalg og levering til tiden
20190908,1123531,6,Tilfreds er jeg??
20190910,1226261,10,Uhyre nemt!
20190928,14372798,10,God service
20190930,12295188,10,Altid god og hurtig service - helt i top :-)
20190930,1842815,10,Jeg er super glad for at Saxo også sælger brugte bøger.
20191120,12260537,8,"Det virker nemt, havde lidt problmer da jeg skulle bestile, men det lykkes. Nu mangler jeg bare og se om forsendelsen kommer igennem til mig, derfor mit 8 tal."
20191124,1097700,9,Så nemt - stort sortiment!
20191129,1193942,10,"Jeg har skrevet det før og skriver det hellere end gerne igen...
I har et uovertruffent udvalg, en uovertruffen kundeservice og folkepensionistvenlige priser; især for os premiumkunder. ??"
20191201,1144692,10,"Jeg er altid glad for at handle her har dog haft lidt problemer med at finde bøger så jeg kunne forudbestille dem...
Men vil altid anbefale jer..."
20191201,789651,8,Ville gerne kunne købe flere brugte bøger på en gang.
20191203,1277632,9,Fin og hurtig betjening
20191203,14715302,9,Et godt system med mulighed for køb og salg af brugte bøger. Hjemmesiden er til tider lidt svær at bladre i - for mig
20191218,994990,0,"Det var ikke muligt med denne ordre at bestille levering på adressen, hvilket betyder at jeg har en tur på 20 km for at afhente min pakke. Hvilket ikke er særlig miljø ansvarlig. Der er ikke en pakkeshop tættere på min adresse."
20191219,985008,10,Enkelt pg effektivt med stort udvalg
20200106,14891715,10,Kun gode erfaringer
20190113,1226507,10,Nemt og hurtig bestilling af bøger. Stort udvalg af nye og brugte bøger.
20190115,1589990,10,"Jeg får altid varen fhv. hurtigt, udvalget er stort og standen svarer til beskrivelsen"
20190118,1138305,9,"Hjemmesiden er meget let overskuelig. Jeg kan endnu ikke give nogen kommentar vedr. levering, da jeg først har bestilt min bog i dette øjeblik."
